store_nbr,family,min,max,default_rank,comb,id,date,sales,onpromotion,city,state,store_type,cluster,transactions,local_holiday,regional_holiday,index,type,locale,locale_name,description,transferred,category,category_reg,national_holiday,holiday_true
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,19609,2013-01-12,621.0,0,Quito,Pichincha,D,13,1473.0,False,False,43.0,Work Day,National,Ecuador,Recupero puente primer dia del ano,False,good,Dia,True,True
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,21389,2013-01-13,151.22,0,Quito,Pichincha,D,13,542.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,21391,2013-01-13,270.0,0,Quito,Pichincha,D,13,542.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,23171,2013-01-14,281.286,0,Quito,Pichincha,D,13,1780.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,23173,2013-01-14,692.0,0,Quito,Pichincha,D,13,1780.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,24953,2013-01-15,285.612,0,Quito,Pichincha,D,13,1680.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,24955,2013-01-15,686.0,0,Quito,Pichincha,D,13,1680.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,26735,2013-01-16,386.158,0,Quito,Pichincha,D,13,1933.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,26737,2013-01-16,980.0,0,Quito,Pichincha,D,13,1933.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,28517,2013-01-17,278.754,0,Quito,Pichincha,D,13,1786.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,28519,2013-01-17,696.0,0,Quito,Pichincha,D,13,1786.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,30299,2013-01-18,270.991,0,Quito,Pichincha,D,13,1745.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,30301,2013-01-18,758.0,0,Quito,Pichincha,D,13,1745.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,32081,2013-01-19,322.255,0,Quito,Pichincha,D,13,1389.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,32083,2013-01-19,610.0,0,Quito,Pichincha,D,13,1389.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,33863,2013-01-20,112.410995,0,Quito,Pichincha,D,13,507.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,33865,2013-01-20,240.0,0,Quito,Pichincha,D,13,507.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,35645,2013-01-21,294.395,0,Quito,Pichincha,D,13,1770.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,35647,2013-01-21,620.0,0,Quito,Pichincha,D,13,1770.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,37427,2013-01-22,299.201,0,Quito,Pichincha,D,13,1762.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,37429,2013-01-22,777.0,0,Quito,Pichincha,D,13,1762.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,39209,2013-01-23,334.953,0,Quito,Pichincha,D,13,1873.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,39211,2013-01-23,765.0,0,Quito,Pichincha,D,13,1873.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,40991,2013-01-24,341.388,0,Quito,Pichincha,D,13,1616.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,40993,2013-01-24,622.0,0,Quito,Pichincha,D,13,1616.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,42773,2013-01-25,323.856,0,Quito,Pichincha,D,13,1770.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,42775,2013-01-25,699.0,0,Quito,Pichincha,D,13,1770.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,44555,2013-01-26,311.019,0,Quito,Pichincha,D,13,1295.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,44557,2013-01-26,542.0,0,Quito,Pichincha,D,13,1295.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,46337,2013-01-27,152.783,0,Quito,Pichincha,D,13,542.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,46339,2013-01-27,243.0,0,Quito,Pichincha,D,13,542.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,48119,2013-01-28,312.064,0,Quito,Pichincha,D,13,1738.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,48121,2013-01-28,623.0,0,Quito,Pichincha,D,13,1738.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,49901,2013-01-29,236.418,0,Quito,Pichincha,D,13,1772.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,49903,2013-01-29,612.0,0,Quito,Pichincha,D,13,1772.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,51683,2013-01-30,280.501,0,Quito,Pichincha,D,13,1877.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,51685,2013-01-30,926.0,0,Quito,Pichincha,D,13,1877.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,53465,2013-01-31,304.766,0,Quito,Pichincha,D,13,1707.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,53467,2013-01-31,706.0,0,Quito,Pichincha,D,13,1707.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,55247,2013-02-01,318.274,0,Quito,Pichincha,D,13,1806.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,55249,2013-02-01,739.0,0,Quito,Pichincha,D,13,1806.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,57029,2013-02-02,302.402,0,Quito,Pichincha,D,13,1377.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,57031,2013-02-02,691.0,0,Quito,Pichincha,D,13,1377.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,58811,2013-02-03,124.749,0,Quito,Pichincha,D,13,531.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,58813,2013-02-03,251.0,0,Quito,Pichincha,D,13,531.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,60593,2013-02-04,266.262,0,Quito,Pichincha,D,13,1714.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,60595,2013-02-04,699.0,0,Quito,Pichincha,D,13,1714.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,62375,2013-02-05,253.111,0,Quito,Pichincha,D,13,1775.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,62377,2013-02-05,739.0,0,Quito,Pichincha,D,13,1775.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,64157,2013-02-06,331.792,0,Quito,Pichincha,D,13,1853.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,64159,2013-02-06,975.0,0,Quito,Pichincha,D,13,1853.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,65939,2013-02-07,241.674,0,Quito,Pichincha,D,13,1727.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,65941,2013-02-07,627.0,0,Quito,Pichincha,D,13,1727.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,67721,2013-02-08,335.69,0,Quito,Pichincha,D,13,1878.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,67723,2013-02-08,595.0,0,Quito,Pichincha,D,13,1878.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,69503,2013-02-09,190.026,0,Quito,Pichincha,D,13,1104.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,69505,2013-02-09,494.0,0,Quito,Pichincha,D,13,1104.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,71285,2013-02-10,77.57,0,Quito,Pichincha,D,13,374.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,71287,2013-02-10,122.0,0,Quito,Pichincha,D,13,374.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,73067,2013-02-11,96.248,0,Quito,Pichincha,D,13,396.0,False,False,44.0,Holiday,National,Ecuador,Carnaval,False,good,Carnaval,True,True
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,73069,2013-02-11,152.0,0,Quito,Pichincha,D,13,396.0,False,False,44.0,Holiday,National,Ecuador,Carnaval,False,good,Carnaval,True,True
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,74849,2013-02-12,96.456,0,Quito,Pichincha,D,13,487.0,False,False,45.0,Holiday,National,Ecuador,Carnaval,False,good,Carnaval,True,True
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,74851,2013-02-12,218.0,0,Quito,Pichincha,D,13,487.0,False,False,45.0,Holiday,National,Ecuador,Carnaval,False,good,Carnaval,True,True
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,76631,2013-02-13,306.827,0,Quito,Pichincha,D,13,1921.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,76633,2013-02-13,813.0,0,Quito,Pichincha,D,13,1921.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,78413,2013-02-14,356.423,0,Quito,Pichincha,D,13,2119.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,78415,2013-02-14,638.0,0,Quito,Pichincha,D,13,2119.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,80195,2013-02-15,270.04498,0,Quito,Pichincha,D,13,1787.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,80197,2013-02-15,686.0,0,Quito,Pichincha,D,13,1787.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,81977,2013-02-16,301.624,0,Quito,Pichincha,D,13,1263.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,81979,2013-02-16,598.0,0,Quito,Pichincha,D,13,1263.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,83759,2013-02-17,134.79001,0,Quito,Pichincha,D,13,399.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,83761,2013-02-17,142.0,0,Quito,Pichincha,D,13,399.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,85541,2013-02-18,336.924,0,Quito,Pichincha,D,13,1742.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,85543,2013-02-18,610.0,0,Quito,Pichincha,D,13,1742.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,87323,2013-02-19,312.449,0,Quito,Pichincha,D,13,1806.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,87325,2013-02-19,752.0,0,Quito,Pichincha,D,13,1806.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,89105,2013-02-20,371.173,0,Quito,Pichincha,D,13,1835.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,89107,2013-02-20,744.0,0,Quito,Pichincha,D,13,1835.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,90887,2013-02-21,323.04,0,Quito,Pichincha,D,13,1756.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,90889,2013-02-21,709.0,0,Quito,Pichincha,D,13,1756.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,92669,2013-02-22,311.591,0,Quito,Pichincha,D,13,1805.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,92671,2013-02-22,815.0,0,Quito,Pichincha,D,13,1805.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,94451,2013-02-23,311.05402,0,Quito,Pichincha,D,13,1448.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,94453,2013-02-23,585.0,0,Quito,Pichincha,D,13,1448.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,96233,2013-02-24,146.674,0,Quito,Pichincha,D,13,512.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,96235,2013-02-24,228.0,0,Quito,Pichincha,D,13,512.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,98015,2013-02-25,293.047,0,Quito,Pichincha,D,13,1760.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,98017,2013-02-25,622.0,0,Quito,Pichincha,D,13,1760.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,99797,2013-02-26,280.463,0,Quito,Pichincha,D,13,1804.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,99799,2013-02-26,577.0,0,Quito,Pichincha,D,13,1804.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,101579,2013-02-27,357.617,0,Quito,Pichincha,D,13,1845.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,101581,2013-02-27,837.0,0,Quito,Pichincha,D,13,1845.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,103361,2013-02-28,248.44,0,Quito,Pichincha,D,13,1763.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,103363,2013-02-28,715.0,0,Quito,Pichincha,D,13,1763.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,105143,2013-03-01,317.251,0,Quito,Pichincha,D,13,1916.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,105145,2013-03-01,692.0,0,Quito,Pichincha,D,13,1916.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,106925,2013-03-02,282.338,0,Quito,Pichincha,D,13,1332.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,106927,2013-03-02,611.0,0,Quito,Pichincha,D,13,1332.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,108707,2013-03-03,141.733,0,Quito,Pichincha,D,13,547.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,108709,2013-03-03,264.0,0,Quito,Pichincha,D,13,547.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,110489,2013-03-04,314.019,0,Quito,Pichincha,D,13,1841.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,110491,2013-03-04,812.0,0,Quito,Pichincha,D,13,1841.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,112271,2013-03-05,251.336,0,Quito,Pichincha,D,13,1750.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,112273,2013-03-05,721.0,0,Quito,Pichincha,D,13,1750.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,114053,2013-03-06,356.865,0,Quito,Pichincha,D,13,1929.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,114055,2013-03-06,927.0,0,Quito,Pichincha,D,13,1929.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,115835,2013-03-07,291.043,0,Quito,Pichincha,D,13,1751.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,115837,2013-03-07,689.0,0,Quito,Pichincha,D,13,1751.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,117617,2013-03-08,291.676,0,Quito,Pichincha,D,13,1960.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,117619,2013-03-08,652.0,0,Quito,Pichincha,D,13,1960.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,119399,2013-03-09,296.837,0,Quito,Pichincha,D,13,1337.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,119401,2013-03-09,569.0,0,Quito,Pichincha,D,13,1337.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,121181,2013-03-10,160.934,0,Quito,Pichincha,D,13,538.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,121183,2013-03-10,271.0,0,Quito,Pichincha,D,13,538.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,122963,2013-03-11,297.395,0,Quito,Pichincha,D,13,1874.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,122965,2013-03-11,746.0,0,Quito,Pichincha,D,13,1874.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,124745,2013-03-12,247.66,0,Quito,Pichincha,D,13,1734.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,124747,2013-03-12,642.0,0,Quito,Pichincha,D,13,1734.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,126527,2013-03-13,331.411,0,Quito,Pichincha,D,13,1841.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,126529,2013-03-13,910.0,0,Quito,Pichincha,D,13,1841.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,128309,2013-03-14,289.69,0,Quito,Pichincha,D,13,1751.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,128311,2013-03-14,537.0,0,Quito,Pichincha,D,13,1751.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,130091,2013-03-15,324.617,0,Quito,Pichincha,D,13,1812.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,130093,2013-03-15,742.0,0,Quito,Pichincha,D,13,1812.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,131873,2013-03-16,308.95,0,Quito,Pichincha,D,13,1238.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,131875,2013-03-16,658.0,0,Quito,Pichincha,D,13,1238.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,133655,2013-03-17,112.537,0,Quito,Pichincha,D,13,561.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,133657,2013-03-17,203.0,0,Quito,Pichincha,D,13,561.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,135437,2013-03-18,316.518,0,Quito,Pichincha,D,13,1696.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,135439,2013-03-18,621.0,0,Quito,Pichincha,D,13,1696.0,False,False,,,,,,,,,False,False
